"session_id","route_id","Fecha","start_time","sport","sport_raw","source","vt1_used","vt2_used","zones_source","duration_min","moving_min","distance_km","elev_gain_m","elev_loss_m","elev_density","calories","hr_mean","hr_max","hr_p95","average_cadence","hrr_drop_bpm","average_weather_temp","z1_pct","z2_pct","z3_pct","z1_total_min","z2_total_min","z3_total_min","work_n_blocks","work_total_min","work_longest_min","work_avg_z3_pct","work_blocks_min","work_blocks_z3pct","late_intensity","cardiac_drift_pct","mechanics_source","polar_sport_raw","polar_start_delta_min","polar_duration_gap_min","run_power_available","run_power_mean","run_power_max","run_power_p95","speed_first_half","speed_second_half","cadence_first_half","cadence_second_half","polar_speed_available","polar_cadence_available","run_power_first_half","run_power_second_half","durability_applicable","speed_ratio","power_ratio","load","trimp","rpe","feel","icu_weighted_avg_watts","icu_joules_above_ftp","icu_max_wbal_depletion","decoupling","intensity_category","effort_vs_recent","effort_vs_anchor","session_group","notes_raw","rpe_present","notes_present","pipeline_version","stream_dt_est"
"i83458276","","2025-06-17","08:06","strength","WeightTraining","intervals","142","163","icu","89.9","89.9","0.0","","","","401.0","93.0","132.0","","","","","100.0","0.0","0.0","89.9","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","21.0","35.49507","","","","","","","NA","above","above","strength_unknown","","0","0","v3.11",""
"i83484702","","2025-06-17","13:33","strength","WeightTraining","intervals","142","163","icu","30.5","30.4","0.0","","","","97.0","82.0","112.0","","","","","100.0","0.0","0.0","30.5","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","5.0","7.6922026","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i83659354","","2025-06-18","15:33","road_run","VirtualRun","intervals","143","161","icu","98.0","91.8","12.4","","","","1077.0","142.0","154.0","151.0","79.10442","","","18.3","81.7","0.0","16.7","74.7","0.0","1","78.2","78.2","0","78.2","0","0.0","3.3","intervals_fit","running indoor_running","","","0.0","","","","8.08","8.25","78.1","80.1","1.0","1.0","","","1","1.021","","89.0","151.17682","","","","","","","work_steady","unknown","typical","endurance_moderate","","0","0","v3.11","1.0"
"i83928379","","2025-06-19","16:20","swim","Swim","intervals","134","149","icu","30.1","29.2","0.95","","","","241.0","115.0","140.0","130.0","30.0","","","99.1","0.9","0.0","29.0","0.2","0.0","0","0.0","0.0","0","","","0.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","13.0","22.23628","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","0.999"
"i83928362","","2025-06-20","09:49","road_run","VirtualRun","intervals","143","161","icu","10.2","2.4","0.3","","","","58.0","104.0","162.0","150.3","77.92727","","","54.8","45.2","0.0","1.2","1.0","0.0","0","0.0","0.0","0","","","0.0","","intervals_fit","running indoor_running","","","0.0","","","","6.2","8.71","74.5","81.4","1.0","1.0","","","0","1.405","","2.0","0.9844843","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","0.998"
"i84123858","","2025-06-21","17:21","strength","WeightTraining","intervals","142","163","icu","75.1","75.0","0.0","","","","338.0","93.0","122.0","","","","","100.0","0.0","0.0","75.1","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","14.0","23.018072","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i84186953","5857020.0","2025-06-22","09:04","trail_run","TrailRun","intervals","143","161","icu","76.4","73.7","9.67","287.0","283.0","29.7","797.0","137.0","170.0","159.0","79.63987","45.0","27.555962","71.3","25.6","3.1","52.1","18.7","2.2","1","5.3","5.3","0","5.3","0","0.0","11.0","intervals_fit","running trail","","","0.0","","","","8.28","7.75","80.5","78.8","1.0","1.0","","","0","0.936","","63.0","107.275986","","","","","","","work_moderate","below","typical","endurance_moderate","","0","0","v3.11","1.001"
"i84329599","5857021.0","2025-06-23","07:42","bike","Ride","intervals","139","156","icu","180.5","176.1","60.57","896.0","893.0","14.8","1544.0","122.0","157.0","145.0","90.81086","","26.626167","87.7","12.3","0.0","154.3","21.6","0.0","2","10.5","6.2","0","6.2;4.3","0;0","0.0","-31.9","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","102.0","166.05798","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.0"
"i84464416","5857024.0","2025-06-24","07:55","trail_run","TrailRun","intervals","143","161","icu","117.1","114.6","15.27","236.0","232.0","15.5","1016.0","120.0","160.0","135.0","79.56695","","28.517752","97.0","3.0","0.0","109.8","3.4","0.0","0","0.0","0.0","0","","","0.0","1.2","intervals_fit","running trail","","","0.0","","","","8.33","8.12","79.9","79.2","1.0","1.0","","","1","0.975","","61.0","106.20462","","","","","","","easy","above","typical","endurance_easy","","0","0","v3.11","1.0"
"i84944982","5857025.0","2025-06-25","15:27","hike","Hike","intervals","143","161","icu","50.1","42.6","4.21","115.0","146.0","27.3","347.0","104.0","126.0","119.0","","","31.12737","100.0","0.0","0.0","42.6","0.0","0.0","0","0.0","0.0","0","","","0.0","5.7","intervals_fit","hiking generic","","","0.0","","","","6.43","5.9","","","1.0","0.0","","","0","0.918","","13.0","19.16893","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","1.001"
"i84944976","","2025-06-26","09:23","strength","WeightTraining","intervals","142","163","icu","27.1","27.1","0.0","","","","115.0","90.0","108.0","","","","","100.0","0.0","0.0","27.1","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","4.0","6.4952307","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i84944971","","2025-06-26","17:18","road_run","VirtualRun","intervals","143","161","icu","49.9","21.6","2.7","","","","303.0","106.0","182.0","178.0","75.58573","48.0","","71.1","12.8","16.1","14.8","2.7","3.4","1","5.9","5.9","52","5.9","52","0.0","","intervals_fit","running indoor_running","","","0.0","","","","7.36","8.13","73.3","77.9","1.0","1.0","","","0","1.105","","15.0","10.483298","","","","","","","work_moderate","below","below","endurance_moderate","","0","0","v3.11","1.0"
