Fecha,ssm_input_ready,ssm_warmup_complete,ssm_recovery_state,ssm_baseline_state,ssm_fatigue_state,sleep_recovery_index,sleep_recovery_index_var,sleep_recovery_index_sd,sleep_obs_missing,sleep_input_quality,sleep_obs_var_multiplier,sleep_innovation,ssm_state_lo,ssm_state_hi,ssm_state_var,ssm_state_sd,ssm_baseline_state_var,ssm_fatigue_state_var,ssm_baseline_state_sd,ssm_fatigue_state_sd,ssm_obs_missing,ssm_load_missing,ssm_load_context_mode,ssm_proc_var_multiplier,ssm_input_quality,ssm_obs_var_multiplier,ssm_innovation,control_rolling_hrv_7d,control_load_7d
2025-07-14,True,True,3.818109063835737,4.099927449950175,0.2818183861144381,,,,True,suppressed,1.15,,3.51532356118006,4.120894566491414,0.009181509401558223,0.09582019307827669,0.007724309035130373,0.009617709169388098,0.08788804830652672,0.0980699197990296,False,False,session_recorded,1.0,clean,1.0,-0.07056879233176483,3.854482843126464,404.0
2025-07-15,True,True,3.7445466699304673,4.064840210297252,0.32029354036678465,,,,True,suppressed,1.25,,3.4430515564265978,4.046041783434337,0.009103417986012146,0.09541183357431166,0.007687885877970387,0.009556511418951447,0.08768059008680534,0.09775741106919437,False,False,session_recorded,1.0,clean,1.0,-0.3734047970260139,3.767149958712769,444.0
2025-07-16,True,True,3.714291346947198,4.055688688996495,0.34139734204929756,,,,True,suppressed,1.15,,3.4134167952870835,4.015165898607313,0.00906598175742952,0.09521544915311547,0.007656989976340665,0.00952108599372588,0.08750422833406775,0.09757605235776799,False,False,session_recorded,1.0,clean,1.0,-0.1248874375259108,3.757988390398432,382.0
2025-07-17,True,True,3.8186452722764566,4.079080484524805,0.26043521224834887,,,,True,suppressed,1.3,,3.518079940547305,4.119210604005608,0.009047356442209274,0.09511759270613021,0.007630014052553164,0.009498629306997785,0.08734995164596925,0.09746091168770064,False,False,session_recorded,1.0,clean,1.0,0.2825874100934147,3.7827205916913806,341.0
2025-07-18,True,True,3.829955778053937,4.076231518665324,0.24627574061138713,,,,True,suppressed,1.15,,3.5234350536538885,4.136476502453985,0.009409436485535688,0.09700224989934866,0.007688043158265646,0.009881735330400534,0.08768148697567603,0.09940691792023598,False,False,rest_day_no_session,1.15,clean,1.0,-0.01757603259502538,3.756589636795737,
2025-07-19,True,True,3.9062597415377702,4.089308192672207,0.18304845113443657,,,,True,suppressed,1.0,,3.6032476476485225,4.2092718354270175,0.00919525661191767,0.09589190065859406,0.007660405332816113,0.009696631520560536,0.08752374153803134,0.09847147566966048,False,False,session_recorded,1.0,clean,1.0,0.1845803815168363,3.795828318641855,283.0
2025-07-20,True,True,3.8485626891244467,4.095593872588718,0.2470311834642711,,,,True,suppressed,1.25,,3.504874521550744,4.192250856698149,0.01182968253047497,0.1087643440217196,0.008057316764031514,0.010605816273604986,0.08976255769546405,0.10298454385782843,True,False,session_recorded,1.0,suppressed,2.5,,3.838943544843139,410.0
2025-07-21,True,True,3.80804876136185,4.1008252673064804,0.29277650594463045,,,,True,suppressed,1.0,,3.4260029711414606,4.19009455158224,0.014617555977941087,0.12090308506378605,0.008536160157382476,0.011802702257679602,0.09239134243738682,0.10864024234913876,True,False,rest_day_no_session,1.15,suppressed,1.0,,3.8514389651231054,
2025-07-22,True,True,3.87037689663815,4.105781318081829,0.23540442144367874,,,,True,suppressed,1.35,,3.5314386107589475,4.209315182517353,0.011504961934351934,0.10726118559083679,0.008145387048963126,0.01042626446399719,0.09025179803728636,0.10210908120239448,False,False,session_recorded,1.0,clean,1.0,0.07697849816404023,3.92936450569483,358.0
2025-07-23,True,True,3.7351346659521405,4.080707534912889,0.345572868960749,,,,True,suppressed,1.25,,3.4161228478136643,4.054146484090617,0.01019195442795889,0.10095521000898809,0.007944535291710724,0.009876342491555402,0.08913212267028495,0.0993797891502865,False,False,session_recorded,1.0,clean,1.0,-0.3046986723630196,3.9112097569307203,423.0
2025-07-24,True,True,3.7737026023474525,4.1067043773194225,0.3330017749719701,,,,True,suppressed,1.15,,3.4584361808706934,4.088969023824212,0.009954039572785378,0.09976993321028825,0.007907578201413567,0.010037363952015441,0.08892456466811388,0.10018664557721972,False,False,rest_day_no_session,1.15,clean,1.0,0.21835243010695793,3.89463298782513,
2025-07-25,True,True,3.8714359184850733,4.123204928519063,0.2517690100339897,,,,True,suppressed,1.35,,3.563969918624002,4.178901918346145,0.009467561261685208,0.09730139393495453,0.007824584000903828,0.009766059222922615,0.08845667866760445,0.09882337386935651,False,False,session_recorded,1.0,clean,1.0,0.21624784103828087,3.9311649594452835,480.0
2025-07-26,True,True,3.8539730482639065,4.148166429221727,0.29419338095782066,,,,True,suppressed,1.25,,3.550187155490077,4.157758941037736,0.009242280242732492,0.09613677882440462,0.007766273705137833,0.009633918915116477,0.0881264642723049,0.09815252882690531,False,False,session_recorded,1.0,clean,1.0,0.18719871897307838,3.922747937304111,628.0
2025-07-27,True,True,3.8982200302431638,4.1721864643755096,0.273966434132346,,,,True,suppressed,1.15,,3.5961910715704706,4.200248988915857,0.00913568463335092,0.09558077543811266,0.007721364852459846,0.009565718151062549,0.0878712970910288,0.0978044894218182,False,False,session_recorded,1.0,clean,1.0,0.24204651009533684,3.914712647069885,581.0
2025-07-28,True,True,3.8721175012039764,4.1748289702164705,0.30271146901249407,,,,True,suppressed,1.15,,3.5288181122521403,4.2154168901558124,0.011802934292694477,0.10864131024934519,0.008116461213977855,0.010511231364142691,0.09009140477302957,0.10252429645768213,True,False,session_recorded,1.0,suppressed,1.0,,3.914712647069885,563.0
