Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-10-09,516.5,550.5,,,93.82379654859218,3.0,3.0,5.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-10-10,432.0,449.5,,,96.1067853170189,4.0,4.4,3.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-10-11,458.5,493.0,,,93.00202839756592,2.0,2.7,9.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-10-12,436.0,479.5,,,90.92805005213764,2.0,2.6,8.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-10-13,410.0,433.0,,,94.68822170900692,3.0,3.1,3.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-10-14,437.5,463.5,,,94.39050701186623,2.0,2.6,3.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-10-15,506.0,547.0,,,92.50457038391224,2.0,2.8,7.0,41.0,,,,,363.0,494.70000000000005,8.0
2025-10-16,494.5,520.5,,,95.00480307396734,3.0,3.4,6.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-10-17,440.0,465.0,,,94.6236559139785,3.0,3.0,5.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-10-18,486.0,516.5,,,94.09486931268152,2.0,2.6,5.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-10-19,423.5,467.5,,,90.58823529411764,2.0,2.6,5.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-10-20,598.5,641.0,,,93.36973478939156,3.0,3.0,8.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-10-21,405.0,436.5,,,92.78350515463916,2.0,2.9,7.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-10-22,419.0,445.5,,,94.05162738496072,2.0,2.8,2.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-10-23,552.5,597.5,,,92.46861924686192,3.0,3.2,7.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-10-24,463.5,488.0,,,94.97950819672133,3.0,3.2,4.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-10-25,490.0,524.0,,,93.51145038167938,2.0,2.6,5.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-10-26,466.5,504.5,,,92.46778989098117,2.0,2.0,6.0,38.0,,,,,363.0,494.70000000000005,8.0
2025-10-27,417.5,443.5,,,94.13754227733936,2.0,2.9,3.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-10-28,361.5,380.0,,,95.13157894736842,3.0,3.2,3.0,20.0,,,,,363.0,494.70000000000005,8.0
2025-10-29,418.0,439.0,,,95.21640091116174,4.0,4.0,3.0,20.0,,,,,363.0,494.70000000000005,8.0
2025-10-30,500.0,538.5,,,92.85051067780871,2.0,2.7,7.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-10-31,463.0,500.5,,,92.5074925074925,2.0,2.1,8.0,32.0,,,,,363.0,494.70000000000005,8.0
